Iteration, Elapsed Time, TX Diff Output Swing(mV), Port TXDIFFCTRL0[2:0], Port TXBUFDIFFCTRL0[2:0], TX Pre-Emphasis, Port TXPREEMPHASIS0[2:0], RX Equalization, Port RXEQMIX0[1:0], DFETAP1, DFETAP2, RX Sampling Point(tap), RX Sampling Point(UI), Attr PMA_CDR_SCAN, Link, # Bits, # Errs, BER
86, 00:1:29, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 85, 0.669, 6404055, 1, 7746355200, 13576682,  1.753E-003
87, 00:1:30, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 86, 0.677, 6404056, 1, 7672954880, 24317565,  3.169E-003
88, 00:1:31, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 87, 0.685, 6404057, 1, 7704412160, 450991198,  5.854E-002
89, 00:1:32, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 88, 0.693, 6404058, 1, 7667712000, 616338568,  8.038E-002
90, 00:1:33, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 89, 0.701, 6404059, 1, 7832862720, 617500620,  7.883E-002
91, 00:1:34, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 90, 0.709, 640405A, 1, 7628390400, 596573020,  7.820E-002
92, 00:1:35, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 91, 0.717, 640405B, 0,  7.500E012,  7.500E012, 1
93, 00:1:36, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 92, 0.724, 640405C, 1, 7667712000, 174818,  2.280E-005
94, 00:1:37, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 93, 0.732, 640405D, 0,  7.410E012,  7.410E012, 1
95, 00:1:38, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 94, 0.740, 640405E, 0,  7.319E012,  7.319E012, 1
96, 00:1:39, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 95, 0.748, 640405F, 0,  7.129E012,  7.129E012, 1
97, 00:1:40, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 96, 0.756, 6404060, 1, 7733248000, 575078690,  7.436E-002
98, 00:1:41, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 97, 0.764, 6404061, 0,  7.465E012,  7.465E012, 1
99, 00:1:42, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 98, 0.772, 6404062, 0,  7.498E012,  7.498E012, 1
100, 00:1:43, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 99, 0.780, 6404063, 1, 7657226240, 561597803,  7.334E-002
101, 00:1:44, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 100, 0.787, 6404064, 0,  7.436E012,  7.436E012, 1
102, 00:1:45, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 101, 0.795, 6404065, 0,  7.485E012,  7.485E012, 1
103, 00:1:46, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 102, 0.803, 6404066, 0,  7.483E012,  7.483E012, 1
104, 00:1:47, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 103, 0.811, 6404067, 0,  7.475E012,  7.475E012, 1
105, 00:1:48, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 104, 0.819, 6404068, 0,  7.497E012,  7.497E012, 1
106, 00:1:49, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 105, 0.827, 6404069, 0,  7.468E012,  7.468E012, 1
107, 00:1:50, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 106, 0.835, 640406A, 0,  7.432E012,  7.432E012, 1
108, 00:1:51, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 107, 0.843, 640406B, 0,  7.383E012,  7.383E012, 1
109, 00:1:52, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 108, 0.850, 640406C, 0,  7.356E012,  7.356E012, 1
110, 00:1:53, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 109, 0.858, 640406D, 0,  7.426E012,  7.426E012, 1
111, 00:1:54, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 110, 0.866, 640406E, 1, 7806648320, 543664018,  6.964E-002
112, 00:1:55, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 111, 0.874, 640406F, 0,  7.426E012,  7.426E012, 1
113, 00:1:56, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 112, 0.882, 6404070, 0,  7.340E012,  7.340E012, 1
114, 00:1:57, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 113, 0.890, 6404071, 0,  7.354E012,  7.354E012, 1
115, 00:1:59, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 114, 0.898, 6404072, 0,  7.391E012,  7.391E012, 1
116, 00:2:00, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 115, 0.906, 6404073, 0,  7.356E012,  7.356E012, 1
117, 00:2:1, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 116, 0.913, 6404074, 0,  7.369E012,  7.369E012, 1
118, 00:2:2, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 117, 0.921, 6404075, 0,  7.391E012,  7.391E012, 1
119, 00:2:3, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 118, 0.929, 6404076, 0,  7.361E012,  7.361E012, 1
120, 00:2:4, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 119, 0.937, 6404077, 0,  7.353E012,  7.353E012, 1
121, 00:2:5, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 120, 0.945, 6404078, 0,  7.352E012,  7.352E012, 1
122, 00:2:6, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 121, 0.953, 6404079, 0,  7.366E012,  7.366E012, 1
123, 00:2:7, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 122, 0.961, 640407A, 0,  7.425E012,  7.425E012, 1
124, 00:2:8, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 123, 0.969, 640407B, 0,  7.366E012,  7.366E012, 1
125, 00:2:9, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 124, 0.976, 640407C, 0,  7.387E012,  7.387E012, 1
126, 00:2:10, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 125, 0.984, 640407D, 0,  7.361E012,  7.361E012, 1
127, 00:2:11, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 126, 0.992, 640407E, 0,  7.179E012,  7.179E012, 1
128, 00:2:12, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 127, 1.000, 640407F, 0,  7.064E012,  7.064E012, 1
