Iteration, Elapsed Time, TX Diff Output Swing(mV), Port TXDIFFCTRL0[2:0], Port TXBUFDIFFCTRL0[2:0], TX Pre-Emphasis, Port TXPREEMPHASIS0[2:0], RX Equalization, Port RXEQMIX0[1:0], DFETAP1, DFETAP2, RX Sampling Point(tap), RX Sampling Point(UI), Attr PMA_CDR_SCAN, Link, # Bits, # Errs, BER
1, 00:00:1, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 0, 0.000, 6404000, 0,  7.297E012,  7.297E012, 1
2, 00:00:2, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 1, 0.008, 6404001, 0,  7.320E012,  7.320E012, 1
3, 00:00:3, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 2, 0.016, 6404002, 0,  7.270E012,  7.270E012, 1
4, 00:00:4, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 3, 0.024, 6404003, 0,  7.180E012,  7.180E012, 1
5, 00:00:5, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 4, 0.031, 6404004, 1, 7502561280, 639429097,  8.523E-002
6, 00:00:6, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 5, 0.039, 6404005, 1, 7578583040, 649388229,  8.569E-002
7, 00:00:7, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 6, 0.047, 6404006, 1, 7397703680, 11060556,  1.495E-003
8, 00:00:8, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 7, 0.055, 6404007, 1, 7450132480, 5651634,  7.586E-004
9, 00:00:9, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 8, 0.063, 6404008, 1, 7586447360, 2557122,  3.371E-004
10, 00:00:10, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 9, 0.071, 6404009, 1, 7460618240, 1132998,  1.519E-004
11, 00:00:11, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 10, 0.079, 640400A, 1, 7568097280, 495346,  6.545E-005
12, 00:00:12, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 11, 0.087, 640400B, 1, 7455375360, 208606,  2.798E-005
13, 00:00:13, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 12, 0.094, 640400C, 1, 7442268160, 76154,  1.023E-005
14, 00:00:14, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 13, 0.102, 640400D, 1, 7539261440, 28658,  3.801E-006
15, 00:00:15, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 14, 0.110, 640400E, 1, 7395082240, 10395,  1.406E-006
16, 00:00:16, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 15, 0.118, 640400F, 1, 7861698560, 3809,  4.845E-007
17, 00:00:17, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 16, 0.126, 6404010, 1, 7484211200, 931,  1.244E-007
18, 00:00:18, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 17, 0.134, 6404011, 1, 7573340160, 188,  2.482E-008
19, 00:00:19, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 18, 0.142, 6404012, 1, 7649361920, 33,  4.314E-009
20, 00:00:20, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 19, 0.150, 6404013, 1, 7578583040, 7,  9.237E-010
21, 00:00:21, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 20, 0.157, 6404014, 1, 7429160960, 1,  1.346E-010
22, 00:00:22, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 21, 0.165, 6404015, 1, 7790919680, 0,  1.284E-010
23, 00:00:23, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 22, 0.173, 6404016, 1, 7481589760, 0,  1.337E-010
24, 00:00:24, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 23, 0.181, 6404017, 1, 7492075520, 0,  1.335E-010
25, 00:00:25, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 24, 0.189, 6404018, 1, 7720140800, 0,  1.295E-010
26, 00:00:26, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 25, 0.197, 6404019, 1, 7696547840, 0,  1.299E-010
27, 00:00:28, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 26, 0.205, 640401A, 1, 7843348480, 0,  1.275E-010
28, 00:00:29, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 27, 0.213, 640401B, 1, 7465861120, 0,  1.339E-010
29, 00:00:30, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 28, 0.220, 640401C, 1, 7680819200, 0,  1.302E-010
30, 00:00:31, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 29, 0.228, 640401D, 1, 7775191040, 0,  1.286E-010
31, 00:00:32, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 30, 0.236, 640401E, 1, 7418675200, 0,  1.348E-010
32, 00:00:33, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 31, 0.244, 640401F, 1, 7463239680, 0,  1.340E-010
33, 00:00:34, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 32, 0.252, 6404020, 1, 7568097280, 0,  1.321E-010
34, 00:00:35, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 33, 0.260, 6404021, 1, 7426539520, 0,  1.347E-010
35, 00:00:36, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 34, 0.268, 6404022, 1, 7596933120, 0,  1.316E-010
36, 00:00:37, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 35, 0.276, 6404023, 1, 7295467520, 0,  1.371E-010
37, 00:00:38, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 36, 0.283, 6404024, 1, 7809269760, 0,  1.281E-010
38, 00:00:39, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 37, 0.291, 6404025, 1, 7505182720, 0,  1.332E-010
39, 00:00:40, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 38, 0.299, 6404026, 1, 7575961600, 0,  1.320E-010
40, 00:00:41, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 39, 0.307, 6404027, 1, 7381975040, 0,  1.355E-010
41, 00:00:42, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 40, 0.315, 6404028, 1, 7686062080, 0,  1.301E-010
42, 00:00:43, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 41, 0.323, 6404029, 1, 7497318400, 0,  1.334E-010
43, 00:00:44, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 42, 0.331, 640402A, 1, 7746355200, 0,  1.291E-010
44, 00:00:45, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 43, 0.339, 640402B, 1, 7686062080, 0,  1.301E-010
45, 00:00:46, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 44, 0.346, 640402C, 1, 7754219520, 0,  1.290E-010
46, 00:00:47, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 45, 0.354, 640402D, 1, 7733248000, 0,  1.293E-010
47, 00:00:48, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 46, 0.362, 640402E, 1, 7720140800, 0,  1.295E-010
48, 00:00:49, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 47, 0.370, 640402F, 1, 7596933120, 0,  1.316E-010
49, 00:00:50, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 48, 0.378, 6404030, 1, 7775191040, 0,  1.286E-010
50, 00:00:51, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 49, 0.386, 6404031, 1, 7707033600, 0,  1.298E-010
51, 00:00:52, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 50, 0.394, 6404032, 1, 7675576320, 0,  1.303E-010
52, 00:00:53, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 51, 0.402, 6404033, 1, 7756840960, 0,  1.289E-010
53, 00:00:54, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 52, 0.409, 6404034, 1, 7728005120, 0,  1.294E-010
54, 00:00:55, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 53, 0.417, 6404035, 1, 7644119040, 0,  1.308E-010
55, 00:00:56, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 54, 0.425, 6404036, 1, 7793541120, 0,  1.283E-010
56, 00:00:58, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 55, 0.433, 6404037, 1, 7728005120, 0,  1.294E-010
57, 00:00:59, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 56, 0.441, 6404038, 1, 7691304960, 0,  1.300E-010
58, 00:00:60, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 57, 0.449, 6404039, 1, 7793541120, 0,  1.283E-010
59, 00:1:1, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 58, 0.457, 640403A, 1, 7693926400, 0,  1.300E-010
60, 00:1:2, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 59, 0.465, 640403B, 1, 7735869440, 0,  1.293E-010
61, 00:1:3, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 60, 0.472, 640403C, 1, 7686062080, 0,  1.301E-010
62, 00:1:4, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 61, 0.480, 640403D, 1, 7748976640, 0,  1.290E-010
63, 00:1:5, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 62, 0.488, 640403E, 1, 7704412160, 0,  1.298E-010
64, 00:1:6, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 63, 0.496, 640403F, 1, 7686062080, 0,  1.301E-010
65, 00:1:7, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 64, 0.504, 6404040, 1, 7769948160, 3,  3.861E-010
66, 00:1:8, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 65, 0.512, 6404041, 1, 7308574720, 8,  1.095E-009
67, 00:1:9, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 66, 0.520, 6404042, 1, 7625768960, 54,  7.081E-009
68, 00:1:10, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 67, 0.528, 6404043, 1, 7746355200, 383,  4.944E-008
69, 00:1:11, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 68, 0.535, 6404044, 1, 7709655040, 2081,  2.699E-007
70, 00:1:12, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 69, 0.543, 6404045, 1, 7683440640, 10575,  1.376E-006
71, 00:1:13, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 70, 0.551, 6404046, 1, 7751598080, 49555,  6.393E-006
72, 00:1:14, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 71, 0.559, 6404047, 1, 7746355200, 167431,  2.161E-005
73, 00:1:15, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 72, 0.567, 6404048, 1, 7748976640, 680654,  8.784E-005
74, 00:1:16, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 73, 0.575, 6404049, 1, 7733248000, 1886978,  2.440E-004
75, 00:1:17, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 74, 0.583, 640404A, 1, 7772569600, 6410229,  8.247E-004
76, 00:1:18, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 75, 0.591, 640404B, 1, 7693926400, 18060385,  2.347E-003
77, 00:1:19, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 76, 0.598, 640404C, 1, 7628390400, 43155476,  5.657E-003
78, 00:1:20, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 77, 0.606, 640404D, 1, 7819755520, 99873179,  1.277E-002
79, 00:1:21, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 78, 0.614, 640404E, 1, 7701790720, 214004628,  2.779E-002
80, 00:1:22, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 79, 0.622, 640404F, 1, 7699169280, 101,  1.312E-008
81, 00:1:23, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 80, 0.630, 6404050, 1, 7762083840, 0,  1.288E-010
82, 00:1:24, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 81, 0.638, 6404051, 1, 7578583040, 654383,  8.635E-005
83, 00:1:25, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 82, 0.646, 6404052, 1, 7717519360, 1608352,  2.084E-004
84, 00:1:26, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 83, 0.654, 6404053, 1, 7714897920, 3365570,  4.362E-004
85, 00:1:27, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 84, 0.661, 6404054, 1, 7507804160, 6619307,  8.817E-004
