Iteration, Elapsed Time, TX Diff Output Swing(mV), Port TXDIFFCTRL0[2:0], Port TXBUFDIFFCTRL0[2:0], TX Pre-Emphasis, Port TXPREEMPHASIS0[2:0], RX Equalization, Port RXEQMIX0[1:0], DFETAP1, DFETAP2, RX Sampling Point(tap), RX Sampling Point(UI), Attr PMA_CDR_SCAN, Link, # Bits, # Errs, BER
42, 00:00:43, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 41, 0.323, 6404029, 1, 9245818880, 0,  1.082E-010
43, 00:00:44, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 42, 0.331, 640402A, 1, 9282519040, 0,  1.077E-010
44, 00:00:45, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 43, 0.339, 640402B, 1, 9269411840, 0,  1.079E-010
45, 00:00:46, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 44, 0.346, 640402C, 1, 9219604480, 0,  1.085E-010
46, 00:00:47, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 45, 0.354, 640402D, 1, 9298247680, 0,  1.075E-010
47, 00:00:48, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 46, 0.362, 640402E, 1, 9193390080, 0,  1.088E-010
48, 00:00:49, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 47, 0.370, 640402F, 1, 9581363200, 0,  1.044E-010
49, 00:00:50, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 48, 0.378, 6404030, 1, 9172418560, 1,  1.090E-010
50, 00:00:51, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 49, 0.386, 6404031, 1, 9290383360, 0,  1.076E-010
51, 00:00:52, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 50, 0.394, 6404032, 1, 9169797120, 14,  1.527E-009
52, 00:00:53, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 51, 0.402, 6404033, 1, 9211740160, 184,  1.997E-008
53, 00:00:54, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 52, 0.409, 6404034, 1, 9285140480, 527,  5.676E-008
54, 00:00:55, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 53, 0.417, 6404035, 1, 9279897600, 2198,  2.369E-007
55, 00:00:56, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 54, 0.425, 6404036, 1, 9175040000, 5151,  5.614E-007
56, 00:00:57, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 55, 0.433, 6404037, 1, 9143582720, 34306,  3.752E-006
57, 00:00:58, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 56, 0.441, 6404038, 1, 9057075200, 82892,  9.152E-006
58, 00:00:59, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 57, 0.449, 6404039, 1, 8275886080, 210964,  2.549E-005
59, 00:00:60, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 58, 0.457, 640403A, 1, 9237954560, 737099,  7.979E-005
60, 00:1:2, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 59, 0.465, 640403B, 1, 9272033280, 1812568,  1.955E-004
61, 00:1:3, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 60, 0.472, 640403C, 1, 9211740160, 3030174,  3.289E-004
62, 00:1:4, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 61, 0.480, 640403D, 1, 8970567680, 4676466,  5.213E-004
63, 00:1:5, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 62, 0.488, 640403E, 1, 9201254400, 7986785,  8.680E-004
64, 00:1:6, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 63, 0.496, 640403F, 1, 9002024960, 11951848,  1.328E-003
65, 00:1:7, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 64, 0.504, 6404040, 1, 9251061760, 19534407,  2.112E-003
66, 00:1:8, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 65, 0.512, 6404041, 1, 9151447040, 25913706,  2.832E-003
67, 00:1:9, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 66, 0.520, 6404042, 1, 9311354880, 36520891,  3.922E-003
68, 00:1:10, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 67, 0.528, 6404043, 1, 8905031680, 46390076,  5.209E-003
69, 00:1:11, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 68, 0.535, 6404044, 1, 9064939520, 7026855,  7.752E-004
70, 00:1:12, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 69, 0.543, 6404045, 1, 8734638080, 68864516,  7.884E-003
