Iteration, Elapsed Time, TX Diff Output Swing(mV), Port TXDIFFCTRL0[2:0], Port TXBUFDIFFCTRL0[2:0], TX Pre-Emphasis, Port TXPREEMPHASIS0[2:0], RX Equalization, Port RXEQMIX0[1:0], DFETAP1, DFETAP2, RX Sampling Point(tap), RX Sampling Point(UI), Attr PMA_CDR_SCAN, Link, # Bits, # Errs, BER
1, 00:00:1, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 0, 0.000, 6404000, 0,  4.002E+12,  4.002E+12, 1
2, 00:00:2, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 1, 0.008, 6404001, 0,  6.004E+12,  6.004E+12, 1
3, 00:00:3, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 2, 0.016, 6404002, 0,  5.969E+12,  5.969E+12, 1
4, 00:00:4, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 3, 0.024, 6404003, 0,  5.974E+12,  5.974E+12, 1
5, 00:00:5, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 4, 0.031, 6404004, 0,  5.926E+12,  5.926E+12, 1
6, 00:00:6, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 5, 0.039, 6404005, 0,  5.845E+12,  5.845E+12, 1
7, 00:00:7, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 6, 0.047, 6404006, 1, 6034554880, 423547301,  7.019E-002
8, 00:00:8, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 7, 0.055, 6404007, 0,  5.993E+12,  5.993E+12, 1
9, 00:00:9, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 8, 0.063, 6404008, 0,  5.980E+12,  5.980E+12, 1
10, 00:00:10, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 9, 0.071, 6404009, 0,  5.988E+12,  5.988E+12, 1
11, 00:00:11, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 10, 0.079, 640400A, 1, 6189219840, 454038275,  7.336E-002
12, 00:00:12, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 11, 0.087, 640400B, 0,  6.013E+12,  6.013E+12, 1
13, 00:00:13, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 12, 0.094, 640400C, 0,  6.009E+12,  6.009E+12, 1
14, 00:00:14, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 13, 0.102, 640400D, 0,  6.009E+12,  6.009E+12, 1
15, 00:00:15, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 14, 0.110, 640400E, 0,  5.927E+12,  5.927E+12, 1
16, 00:00:16, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 15, 0.118, 640400F, 0,  5.967E+12,  5.967E+12, 1
17, 00:00:17, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 16, 0.126, 6404010, 1, 6186598400, 231874349,  3.748E-002
18, 00:00:18, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 17, 0.134, 6404011, 1, 6142033920, 180361001,  2.937E-002
19, 00:00:19, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 18, 0.142, 6404012, 1, 6225920000, 137676246,  2.211E-002
20, 00:00:20, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 19, 0.150, 6404013, 1, 6152519680, 94825297,  1.541E-002
21, 00:00:21, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 20, 0.157, 6404014, 1, 6139412480, 64549313,  1.051E-002
22, 00:00:22, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 21, 0.165, 6404015, 1, 6155141120, 43119124,  7.005E-003
23, 00:00:23, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 22, 0.173, 6404016, 1, 6178734080, 26101781,  4.224E-003
24, 00:00:24, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 23, 0.181, 6404017, 1, 6173491200, 14878046,  2.410E-003
25, 00:00:25, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 24, 0.189, 6404018, 1, 6136791040, 7789493,  1.269E-003
26, 00:00:26, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 25, 0.197, 6404019, 1, 6197084160, 4261793,  6.877E-004
27, 00:00:27, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 26, 0.205, 640401A, 1, 6139412480, 2177159,  3.546E-004
28, 00:00:28, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 27, 0.213, 640401B, 1, 6018826240, 973113,  1.617E-004
29, 00:00:30, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 28, 0.220, 640401C, 1, 6244270080, 421085,  6.744E-005
30, 00:00:31, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 29, 0.228, 640401D, 1, 6170869760, 175547,  2.845E-005
31, 00:00:32, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 30, 0.236, 640401E, 1, 6144655360, 61146,  9,951E-006
32, 00:00:33, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 31, 0.244, 640401F, 1, 6186598400, 23388,  3.780E-006
33, 00:00:34, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 32, 0.252, 6404020, 1, 6173491200, 7916,  1.282E-006
34, 00:00:35, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 33, 0.260, 6404021, 1, 6236405760, 2446,  3.922E-007
35, 00:00:36, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 34, 0.268, 6404022, 1, 6071255040, 747,  1.230E-007
36, 00:00:37, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 35, 0.276, 6404023, 1, 6204948480, 201,  3.239E-008
