0.010000 0.919207 0.959772
0.050000 0.713603 0.857125
0.090000 0.563530 0.780023
0.130000 0.442562 0.714915
0.170000 0.342295 0.657527
0.210000 0.258517 0.605726
0.250000 0.188722 0.558239
0.290000 0.131279 0.514226
0.330000 0.085074 0.473094
0.370000 0.049328 0.434406
0.410000 0.023500 0.397824
0.450000 0.007226 0.363084
0.490000 0.000289 0.329973
0.530000 0.002598 0.298315
0.570000 0.014185 0.267965
0.610000 0.035200 0.238800
0.650000 0.065932 0.210714
0.690000 0.106827 0.183618
0.730000 0.158535 0.157432
0.770000 0.221989 0.132087
0.810000 0.298529 0.107523
0.850000 0.390160 0.083685
0.890000 0.500084 0.060526
0.930000 0.634076 0.038003
0.970000 0.805608 0.016075
0.990000 0.919207 0.005324
